Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,sin_day,cos_day,sin_month,cos_month,reindexed_id
03-01-2000,1482.15,1592.9,1482.15,1592.2,25358322,8841500000,25.91,4.63,0.95,0.587785252,0.809016994,0.5,0.866025404,1
04-01-2000,1594.4,1641.95,1594.4,1638.7,38787872,19736900000,26.67,4.76,0.92,0.743144825,0.669130606,0.5,0.866025404,1
05-01-2000,1634.55,1635.5,1555.05,1595.8,62153431,30847900000,25.97,4.64,0.95,0.866025404,0.5,0.5,0.866025404,1
06-01-2000,1595.8,1639,1595.8,1617.6,51272875,25311800000,26.32,4.7,0.94,0.951056516,0.309016994,0.5,0.866025404,1
07-01-2000,1616.6,1628.25,1597.2,1613.3,54315945,19146300000,26.25,4.69,0.94,0.994521895,0.104528463,0.5,0.866025404,1
10-01-2000,1615.65,1662.1,1614.95,1632.95,45013949,23753500000,26.57,4.74,0.93,0.866025404,-0.5,0.5,0.866025404,1
11-01-2000,1633.25,1639.9,1548.25,1572.5,49120254,25969500000,25.59,4.57,0.96,0.743144825,-0.669130606,0.5,0.866025404,1
12-01-2000,1572.3,1631.55,1571.7,1624.8,38364961,18950000000,26.44,4.72,0.93,0.587785252,-0.809016994,0.5,0.866025404,1
13-01-2000,1627.85,1671.15,1613.65,1621.4,44738447,22376100000,26.38,4.71,0.93,0.406736643,-0.913545458,0.5,0.866025404,1
14-01-2000,1622.15,1627.4,1591.4,1622.75,43292009,19799800000,26.41,4.71,0.93,0.207911691,-0.978147601,0.5,0.866025404,1
17-01-2000,1623.5,1668.45,1604.65,1611.6,42683260,21615900000,26.22,4.68,0.94,-0.406736643,-0.913545458,0.5,0.866025404,1
18-01-2000,1611.65,1615.15,1587.85,1606.7,37564199,17873500000,26.15,4.67,0.94,-0.587785252,-0.809016994,0.5,0.866025404,1
19-01-2000,1610.05,1644.45,1608.85,1634.85,42981295,21629200000,26.6,4.75,0.93,-0.743144825,-0.669130606,0.5,0.866025404,1
20-01-2000,1634.65,1644.4,1596.65,1601.1,42625471,20167700000,26.05,4.65,0.95,-0.866025404,-0.5,0.5,0.866025404,1
21-01-2000,1601.25,1626.5,1593.2,1620.6,39715905,20124800000,26.37,4.71,0.93,-0.951056516,-0.309016994,0.5,0.866025404,1
24-01-2000,1623.05,1645,1608.3,1613.6,34726595,19054500000,26.26,4.69,0.94,-0.951056516,0.309016994,0.5,0.866025404,1
25-01-2000,1612.95,1613.65,1579.55,1586.4,36881758,18847600000,25.81,4.61,0.95,-0.866025404,0.5,0.5,0.866025404,1
27-01-2000,1600.5,1633.55,1600.05,1603.9,38102878,19569000000,26.1,4.66,0.94,-0.587785252,0.809016994,0.5,0.866025404,1
28-01-2000,1603.65,1610.9,1592.7,1599.1,46563431,21475300000,26.02,4.65,0.95,-0.406736643,0.913545458,0.5,0.866025404,1
31-01-2000,1598.35,1598.35,1538.7,1546.2,36153239,15010400000,25.16,4.49,0.98,0.207911691,0.978147601,0.5,0.866025404,1
01-02-2000,1546.2,1554.15,1521.4,1549.5,37161352,16920700000,25.13,4.51,0.98,0.207911691,0.978147601,0.866025404,0.5,1
02-02-2000,1554.2,1605.9,1554.2,1588,39358471,17601800000,25.75,4.62,0.95,0.406736643,0.913545458,0.866025404,0.5,1
03-02-2000,1591.25,1616.7,1591.25,1597.9,40826374,15388900000,25.91,4.65,0.95,0.587785252,0.809016994,0.866025404,0.5,1
